k1,k2,k3,cost,success,ier,mesg,X0,k_HO2_wall,k_OH_wall,S_HO2,S_OH
2.30240532892153e-12,1.2609708887563373e-10,1.370672005262005e-12,1577635.31823,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4390725927313.818,4.874279404171855,12.576992474505888,2.356835493089132e-10,3.905282136735596e-11
2.343584431001853e-12,1.2702185318381263e-10,1.0109785627650098e-12,1650053.88532,True,2,The relative error between two consecutive iterates is at most 0.000000,4353809960931.9116,4.825056381095932,10.718460839501788,2.2585288468898638e-10,3.982164070854463e-11
1.6871499808506326e-12,9.873822190991721e-11,1.561872393303656e-12,1533810.62055,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4866958614194.471,3.576872818462721,11.33425160555631,2.2520111849981569e-10,2.98660687904388e-11
1.7930396928566904e-12,1.2026993051261966e-10,1.593923622704857e-12,1545456.40213,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4441872566078.337,4.205871904488673,10.27242237905805,2.498562297350761e-10,3.385367421610757e-11
1.939673161704905e-12,1.259955117972778e-10,1.2557693016943993e-12,1576014.89225,True,2,The relative error between two consecutive iterates is at most 0.000000,4987169517224.717,4.194036419250737,9.196710958871343,2.228123311274245e-10,3.180498513231653e-11
1.895187008069803e-12,1.225245963862924e-10,1.5011359854969247e-12,1549361.23049,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000,4681562242223.743,4.0999524183620695,14.838645298711747,2.376825679871602e-10,3.3316834700718005e-11
1.7228441481261612e-12,8.184240892705342e-11,1.7525062247941776e-12,1531701.66814,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4577919500600.965,3.0895897243863875,12.586519538130284,2.2478907807529296e-10,3.157493878033611e-11
1.7444048214484652e-12,1.137424755360257e-10,1.5200816510269755e-12,1536770.6064,True,2,The relative error between two consecutive iterates is at most 0.000000,4733423874364.4795,4.166084753999587,9.87040319591441,2.371598128249957e-10,3.140044282458424e-11
1.3971116424187494e-12,1.226534299279604e-10,1.7098145124223425e-12,1525758.21289,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4819701217326.396,4.114022543054631,12.183209856369071,2.631695502408466e-10,2.766594109881015e-11
1.6948153323876482e-12,9.962642311915717e-11,1.5769182404494234e-12,1531512.91087,True,2,The relative error between two consecutive iterates is at most 0.000000,4615677964721.186,3.963642164500645,13.020720412762445,2.3467214761231265e-10,3.1616588925436226e-11
1.3533575607335487e-12,1.2150259746249686e-10,1.2571353886894098e-12,1526115.98493,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4849179390703.022,5.715859084491242,9.012309662261648,2.6055993134504006e-10,2.6926795775710103e-11
