t-data,H2O2-data,HO2-data,OH-data,t-model,H2O2-model,HO2-model,OH-model
16.0,6029.0,655.85,0.18,16.000000000000007,5994.441043881287,504.6583006158743,0.0005577345399896716
16.200000000000003,5986.0,603.85,0.18,16.20000000000001,5994.3972590338935,504.1533278551595,0.0005294678940138032
16.4,6003.0,647.85,-0.82,16.400000000000006,5994.370366460547,503.5050008634276,0.0005029973686210828
16.6,5975.0,631.85,0.18,16.60000000000001,5994.3580603004275,502.73846795633904,0.0004781839593435082
16.800000000000004,6024.0,624.85,0.18,16.800000000000004,5994.347978699976,501.96193450088595,0.00045490146309709785
17.0,5908.0,629.85,0.18,17.000000000000007,5994.309748807402,501.42373761270846,0.0004330354896274168
17.200000000000003,5971.0,659.85,-0.82,17.20000000000001,5994.2659868448,500.91988922039945,0.00041248210418105564
17.4,5843.0,628.85,1.18,17.400000000000006,5994.239072159793,500.2752635559746,0.00039314610676908325
17.6,6018.0,626.85,0.18,17.60000000000001,5994.226705073439,499.51456044003805,0.00037494048195351793
17.800000000000004,5980.0,615.85,1.18,17.800000000000004,5994.216554911287,498.74407444911486,0.0003577855498146465
18.0,5871.0,606.85,-0.82,18.000000000000007,5994.178324374832,498.2077679785791,0.00034160837819243703
18.200000000000003,5944.0,680.85,1.18,18.20000000000001,5994.134573636478,497.7052449290884,0.0003263420948256901
18.400000000000006,5928.0,584.85,-0.82,18.400000000000006,5994.107626787342,497.06446017521347,0.00031192509937501327
18.6,5951.0,670.85,-0.82,18.60000000000001,5994.095190147932,496.30967483884154,0.0002983006867047173
18.800000000000004,5800.0,633.85,1.18,18.800000000000004,5994.084963556885,495.545311442135,0.0002854165874276047
19.0,5946.0,675.85,1.18,19.000000000000007,5994.046723738604,495.01104525675834,0.0002732246111086533
19.200000000000003,5962.0,639.85,-0.82,19.20000000000001,5994.002975872632,494.51000130153693,0.0002616802704724324
19.400000000000006,5886.0,635.85,2.18,19.400000000000006,5993.9759898369675,493.8731544316119,0.00025074238536166985
19.6,5981.0,611.85,-0.82,19.60000000000001,5993.963477796078,493.12433634320183,0.00024037283526586275
19.800000000000004,5838.0,642.85,-0.82,19.800000000000004,5993.9531694670695,492.3661353011742,0.00023053629494500003
20.0,5933.0,649.85,-0.82,20.000000000000007,5993.91491410812,491.83402539342467,0.00022120001368107435
20.200000000000003,6004.0,618.85,-0.82,20.20000000000001,5993.871162964753,491.3345827621848,0.0002123335970321192
20.400000000000006,6059.0,682.85,2.18,20.400000000000006,5993.844132745657,490.7017423078054,0.00020390878988881924
20.6,6041.0,671.85,0.18,20.60000000000001,5993.831541319815,489.9589152301402,0.00019589931592197887
20.800000000000004,5925.0,619.85,1.18,20.80000000000001,5993.821147676531,489.2068922476875,0.00018828071801072497
21.0,5926.0,631.85,1.18,21.000000000000007,5993.782872177616,488.67702957609197,0.00018103021904065938
21.200000000000003,5975.0,599.85,0.18,21.20000000000001,5993.739113163513,488.17928658832,0.000174126588988754
21.400000000000006,5945.0,570.85,0.18,21.400000000000006,5993.7120351880385,487.5505000620519,0.0001675500174175737
21.6,5960.0,585.85,0.18,21.60000000000001,5993.69936169713,486.8136692763142,0.0001612820090745496
21.800000000000004,5900.0,606.85,0.18,21.80000000000001,5993.688880368769,486.067823144599,0.00015530528394325682
22.0,5983.0,641.85,-0.82,22.000000000000007,5993.650581274848,485.54028153078053,0.00014960368775951766
22.200000000000003,5886.0,627.85,1.18,22.20000000000001,5993.606810867541,485.0443202969224,0.00014416210804386124
22.400000000000006,5966.0,581.85,-0.82,22.400000000000006,5993.579682547267,484.4196209281864,0.0001389663950660408
22.6,6100.0,591.85,0.18,22.60000000000001,5993.566925217369,483.68877910377154,0.00013400329327517736
22.800000000000004,6087.0,612.85,-0.82,22.80000000000001,5993.556354674897,482.94909701363434,0.00012926037682962723
23.0,6014.0,584.85,0.18,23.000000000000007,5993.518029330848,482.42393841906284,0.0001247259909730782
23.200000000000003,6049.0,609.85,0.18,23.20000000000001,5993.474244758283,481.92982979190987,0.00012038919743633252
23.400000000000006,5951.0,652.85,0.18,23.400000000000006,5993.44706419765,481.3092408969526,0.00011623972348950528
23.6,6043.0,598.85,-0.82,23.60000000000001,5993.434221895254,480.5843719576942,0.0001122679162851554
23.800000000000004,5985.0,591.85,1.18,23.80000000000001,5993.4235612127695,479.8508327435582,0.00010846470025793857
24.0,6137.0,612.85,0.18,24.000000000000007,5993.385207568301,479.3281091639465,0.00010482153801157587
24.200000000000003,6017.0,582.85,0.18,24.20000000000001,5993.341406637187,478.8359141515403,0.00010133039397209683
24.400000000000006,6013.0,549.85,-0.82,24.400000000000006,5993.314172466474,478.2194507836015,9.798370056884754e-05
24.6,5978.0,632.85,-0.82,24.60000000000001,5993.301244535797,477.5005317530777,9.477432737196058e-05
24.800000000000004,5889.0,568.85,0.18,24.80000000000001,5993.290493233975,476.7731078322428,9.169555236062274e-05
