t-data,H2O2-data,HO2-data,OH-data,t-model,H2O2-model,HO2-model,OH-model
5.400000000000002,5882.0,707.85,0.18,5.400000000000006,5967.709725041723,699.6600288846747,0.3578628234253254
5.600000000000001,5905.0,686.85,1.18,5.600000000000005,5967.653100208474,698.6484553011046,0.2888659323016978
5.800000000000001,5973.0,752.85,-0.82,5.800000000000004,5967.607890396339,697.529538402437,0.23399974963608547
6.0,6017.0,712.85,1.18,6.0000000000000036,5967.522512660163,696.6608263135181,0.19028498995581977
6.200000000000003,5973.0,688.85,0.18,6.200000000000006,5967.433117964863,695.7782510478344,0.15540060421514898
6.400000000000002,5845.0,703.85,0.18,6.400000000000006,5967.3756882586795,694.6546583853116,0.12749688701739248
6.600000000000001,5906.0,696.85,0.18,6.600000000000005,5967.345663192084,693.3335368782166,0.10511573551130686
6.800000000000001,5988.0,673.85,-0.82,6.800000000000004,5967.322089936603,691.9672147950934,0.08710247957956928
7.0,5942.0,679.85,0.18,7.0000000000000036,5967.254524325647,690.892625940284,0.07255867048963566
7.200000000000003,5971.0,747.85,-0.82,7.200000000000006,5967.179758995896,689.842952416781,0.060786851713759575
7.400000000000002,6000.0,664.85,0.18,7.400000000000006,5967.13426536863,688.5892331618127,0.05122313899605816
7.600000000000001,5921.0,682.85,-0.82,7.600000000000005,5967.113990312684,687.1679110669729,0.043420961194819134
7.800000000000001,6032.0,692.85,1.18,7.800000000000004,5967.098445508936,685.7227860377803,0.037024720464974424
8.0,5960.0,729.85,-0.82,8.000000000000007,5967.037670292915,684.5786992374814,0.03175762658494799
8.200000000000003,5991.0,655.85,0.18,8.200000000000006,5966.968588290193,683.4723394493075,0.02740450523144794
8.400000000000002,6072.0,663.85,0.18,8.400000000000006,5966.927754564207,682.1779066978921,0.023788771370100027
8.600000000000001,5991.0,700.85,0.18,8.600000000000005,5966.911295070191,680.7289600049476,0.020769466783852865
8.8,5996.0,694.85,1.18,8.800000000000004,5966.898922127945,679.2641811017571,0.018233368093939193
9.0,5938.0,644.85,0.18,9.000000000000007,5966.840944054587,678.0992029677196,0.016091807966242926
9.200000000000003,5922.0,705.85,1.18,9.200000000000006,5966.77425339587,676.9760900515674,0.014275328713275538
9.400000000000002,6023.0,656.85,-0.82,9.400000000000006,5966.735359852311,675.6736884997465,0.012726039358428037
9.600000000000001,5827.0,662.85,1.18,9.600000000000005,5966.72046103523,674.2240387282391,0.0113971707500545
9.8,5931.0,636.85,0.18,9.800000000000004,5966.709381836635,672.7618835696358,0.01025067764154235
10.0,6012.0,658.85,0.18,10.000000000000007,5966.652625435879,671.5947448285026,0.00925637144757647
10.200000000000003,5868.0,667.85,-0.82,10.200000000000006,5966.587001557648,670.4705587584508,0.008390241057177809
10.400000000000002,5937.0,656.85,2.18,10.400000000000006,5966.548933376474,669.1732091729386,0.007631951341079787
10.600000000000001,5979.0,648.85,0.18,10.600000000000005,5966.5346534088285,667.7336925908437,0.006964797130231762
10.8,5914.0,629.85,1.18,10.800000000000004,5966.52406766527,666.2832768143979,0.006374955659173868
11.0,5943.0,698.85,0.18,11.000000000000007,5966.467845533655,665.1218924123546,0.005851229497206678
11.200000000000003,5897.0,670.85,-0.82,11.200000000000006,5966.402697927424,664.003402218961,0.005384507710084304
11.400000000000002,5889.0,651.85,-0.82,11.400000000000006,5966.36494897432,662.7167656499431,0.00496694897303566
11.600000000000001,5942.0,676.85,0.18,11.600000000000005,5966.350852617788,661.2921185826264,0.004591976673199134
11.8,5927.0,694.85,4.18,11.800000000000008,5966.34038335557,659.8574801605695,0.00425403626148835
12.0,5928.0,678.85,2.18,12.000000000000007,5966.284363464511,658.7055126069921,0.003948508821593194
12.200000000000003,6066.0,607.85,0.18,12.200000000000003,5966.2194009985315,657.5959177616488,0.0036715317945592275
12.399999999999999,5997.0,675.85,1.18,12.400000000000006,5966.1817181649285,656.3226536047604,0.0034197295302341203
12.600000000000001,6017.0,687.85,-0.82,12.600000000000009,5966.167584875674,654.9150787438936,0.0031902070556229485
12.800000000000004,5754.0,682.85,0.18,12.800000000000004,5966.15703807985,653.498106085445,0.002980466546518335
13.0,5962.0,705.85,1.18,13.000000000000007,5966.1010451186985,652.3573792947153,0.0027883736171034597
13.200000000000003,5997.0,686.85,-0.82,13.20000000000001,5966.036111330643,651.2583049153042,0.0026120943210125483
13.399999999999999,5988.0,671.85,0.18,13.400000000000006,5965.9983575501765,649.9997243594878,0.002450003974587529
13.600000000000001,5872.0,632.85,0.18,13.600000000000009,5965.984067144541,648.6102657676294,0.0023006802911611094
13.800000000000004,6061.0,646.85,-0.82,13.800000000000004,5965.973335965044,647.2118456298748,0.0021628722742030437
14.0,6029.0,615.85,0.18,14.000000000000007,5965.917270751477,646.0833075162569,0.002035485162130532
14.200000000000003,5966.0,716.85,0.18,14.20000000000001,5965.852275812928,644.9956141247096,0.0019175565645626004
14.399999999999999,5908.0,677.85,-0.82,14.400000000000006,5965.814372428642,643.7523634259994,0.0018082241601851652
14.600000000000001,6077.0,650.85,0.18,14.600000000000009,5965.799856079801,642.3814852446484,0.0017067202689833383
14.800000000000004,6034.0,633.85,0.18,14.800000000000004,5965.788879005578,641.0019948242467,0.0016123591214781106
15.0,5975.0,654.85,1.18,15.000000000000007,5965.732682645555,639.8861375041131,0.0015245294194022412
15.200000000000003,5899.0,617.85,0.18,15.20000000000001,5965.667572545233,638.8102810361942,0.0014426844284174058
15.399999999999999,5872.0,677.85,-0.82,15.400000000000006,5965.629472723754,637.5826509499192,0.001366329702408908
15.600000000000001,6068.0,634.85,0.18,15.600000000000009,5965.614689946415,636.2305043066077,0.0012950194016479316
15.800000000000004,6027.0,711.85,-0.82,15.800000000000004,5965.603430806627,634.8700425536802,0.0012283505382140087
16.0,6029.0,655.85,0.18,16.000000000000007,5965.547067232767,633.7671045258443,0.0011659590378669763
16.200000000000003,5986.0,603.85,0.18,16.20000000000001,5965.481808498176,632.7033129496286,0.0011075152041068992
16.4,6003.0,647.85,-0.82,16.400000000000006,5965.4434838411125,631.4913927694469,0.00105271860050556
16.6,5975.0,631.85,0.18,16.60000000000001,5965.428410725892,630.1579504999698,0.0010012957211261967
16.800000000000004,6024.0,624.85,0.18,16.800000000000004,5965.416848326875,628.8164560577096,0.000952997138793171
17.0,5908.0,629.85,0.18,17.000000000000007,5965.360295175907,627.7265245958796,0.0009075953177066434
17.200000000000003,5971.0,659.85,-0.82,17.20000000000001,5965.294866802835,626.6748878592549,0.0008648823382185663
17.4,5843.0,628.85,1.18,17.400000000000006,5965.256300165654,625.478645517714,0.0008246675292743814
17.6,6018.0,626.85,0.18,17.60000000000001,5965.240922972824,624.1637737088229,0.0007867760341757382
17.800000000000004,5980.0,615.85,1.18,17.800000000000004,5965.22904536305,622.84108928528,0.0007510472848287265
18.0,5871.0,606.85,-0.82,18.000000000000007,5965.172288791972,621.7641600213864,0.0007173337411266011
18.200000000000003,5944.0,680.85,1.18,18.20000000000001,5965.106677577194,620.7246840655356,0.0006854996592687272
18.400000000000006,5928.0,584.85,-0.82,18.400000000000006,5965.067858891015,619.5440139713855,0.0006554198820811022
18.6,5951.0,670.85,-0.82,18.60000000000001,5965.052170305086,618.2475143641723,0.0006269789597198218
18.800000000000004,5800.0,633.85,1.18,18.800000000000004,5965.039971412314,616.9434243636807,0.0006000702828859042
19.0,5946.0,675.85,1.18,19.000000000000007,5964.983003088434,615.8794342063602,0.0005745953333775158
19.200000000000003,5962.0,639.85,-0.82,19.20000000000001,5964.9172009187005,614.8520703034649,0.0005504629764368323
19.400000000000006,5886.0,635.85,2.18,19.400000000000006,5964.878124730731,613.6868200316717,0.0005275887895626536
19.6,5981.0,611.85,-0.82,19.60000000000001,5964.862121624751,612.4084543629347,0.000505894518794934
19.800000000000004,5838.0,642.85,-0.82,19.800000000000004,5964.849599216058,611.1227073351748,0.0004853075630422234
20.0,5933.0,649.85,-0.82,20.000000000000007,5964.792414428263,610.0715561820671,0.0004657605160150103
20.200000000000003,6004.0,618.85,-0.82,20.20000000000001,5964.72641654819,609.0562210936329,0.0004471907407351653
20.400000000000006,6059.0,682.85,2.18,20.400000000000006,5964.687080452064,607.9062093298384,0.0004295399731305166
20.6,6041.0,671.85,0.18,20.60000000000001,5964.6707624643905,606.6457153048327,0.00041275398066323933
20.800000000000004,5925.0,619.85,1.18,20.80000000000001,5964.657916859521,605.3780379584468,0.0003967822442754926
21.0,5926.0,631.85,1.18,21.000000000000007,5964.60051338414,604.3395998665983,0.00038157767125845417
21.200000000000003,5975.0,599.85,0.18,21.20000000000001,5964.53431737365,603.3361855145163,0.00036709633023111066
21.400000000000006,5945.0,570.85,0.18,21.400000000000006,5964.494721060835,602.2012113375066,0.0003532972060635104
21.6,5960.0,585.85,0.18,21.60000000000001,5964.478089713347,600.958311542692,0.0003401419816073247
21.800000000000004,5900.0,606.85,0.18,21.80000000000001,5964.464922957967,599.7084175792994,0.000327594835719596
22.0,5983.0,641.85,-0.82,22.000000000000007,5964.407300246111,598.6825509274219,0.0003156222590675424
22.200000000000003,5886.0,627.85,1.18,22.20000000000001,5964.340905253462,597.6909343772992,0.00030419288431049327
22.400000000000006,5966.0,581.85,-0.82,22.400000000000006,5964.301049821426,596.5707858322987,0.00029327732933632757
22.6,6100.0,591.85,0.18,22.60000000000001,5964.284107896352,595.3451950566548,0.00028284805502364437
22.800000000000004,6087.0,612.85,-0.82,22.80000000000001,5964.270623199762,594.1127914247952,0.0002728792338007524
23.0,6014.0,584.85,0.18,23.000000000000007,5964.2127818808285,593.0993438372952,0.0002633466289539665
23.200000000000003,6049.0,609.85,0.18,23.20000000000001,5964.146188172987,592.1193915276482,0.0002542274832050273
23.400000000000006,5951.0,652.85,0.18,23.400000000000006,5964.106075705664,591.0138496664854,0.0002455004157475421
23.6,6043.0,598.85,-0.82,23.60000000000001,5964.088826853094,589.8052787761748,0.0002371453278136548
23.800000000000004,5985.0,591.85,1.18,23.80000000000001,5964.075028221341,588.5900693772318,0.0002291433153046599
24.0,6137.0,612.85,0.18,24.000000000000007,5964.016969757616,587.5888813875365,0.00022147658816179267
24.200000000000003,6017.0,582.85,0.18,24.20000000000001,5963.950178397942,586.6204525933283,0.00021412839574829615
24.400000000000006,6013.0,549.85,-0.82,24.400000000000006,5963.909811667651,585.5292946180357,0.0002070829577409206
24.6,5978.0,632.85,-0.82,24.60000000000001,5963.892260129912,584.33745340596,0.0002003254003174899
24.800000000000004,5889.0,568.85,0.18,24.80000000000001,5963.878152107927,583.1391418067549,0.00019384169698342352
25.0,6046.0,573.85,0.18,25.000000000000007,5963.819878542697,582.1500498679181,0.00018761861374338195
25.200000000000003,6033.0,548.85,-0.82,25.20000000000001,5963.752891152672,581.1929996238747,0.00018164365821871504
25.400000000000006,5885.0,556.85,1.18,25.400000000000006,5963.712273402976,580.1160014005294,0.00017590503239506015
25.6,6022.0,589.85,-0.82,25.60000000000001,5963.694423816729,578.9406007423521,0.00017039158878526226
25.800000000000004,5879.0,588.85,-0.82,25.80000000000001,5963.680011300739,577.7588923053668,0.00016509278967148373
26.0,6001.0,612.85,0.18,26.000000000000007,5963.62152505571,576.7817318063135,0.0001599986692113645
26.200000000000003,5924.0,598.85,0.18,26.20000000000001,5963.554343617255,575.8359139838528,0.00015509979817167682
26.400000000000006,5885.0,561.85,1.18,26.400000000000006,5963.5134783892145,574.7728524846341,0.00015038725108761994
26.6,5874.0,558.85,0.18,26.60000000000001,5963.4953356333135,573.6136062365221,0.00014585257568494505
26.800000000000004,5954.0,579.85,-0.82,26.80000000000001,5963.480623753623,572.448208925423,0.00014148776437339678
27.0,5950.0,603.85,-0.82,27.000000000000007,5963.421927615122,571.482811449353,0.0001372852276636404
27.200000000000003,5985.0,576.85,0.18,27.20000000000001,5963.354554490563,570.5480751573625,0.00013323776935995945
27.400000000000006,5933.0,568.85,0.18,27.400000000000006,5963.31344561101,569.498726233389,0.00012933856339748158
27.6,5973.0,594.85,-0.82,27.60000000000001,5963.295014766255,568.3553501828908,0.00012558113220995857
27.800000000000004,5944.0,569.85,0.18,27.80000000000001,5963.280008806884,567.2059751903217,0.00012195932651051097
28.0,5846.0,566.85,0.18,28.000000000000007,5963.2211057187305,566.2521739802758,0.00011846730638552282
28.200000000000003,6082.0,581.85,1.18,28.20000000000001,5963.153543410604,565.3283701503541,0.00011509952360613743
28.400000000000006,5953.0,618.85,0.18,28.400000000000013,5963.112194805906,564.2925131835683,0.00011185070507064542
28.6,5913.0,554.85,1.18,28.60000000000001,5963.09348101841,563.1647280144462,0.00010871583729981987
28.800000000000004,5910.0,545.85,0.18,28.80000000000001,5963.078186325958,562.0310911628194,0.00010569015190943135
29.0,5929.0,541.85,0.18,29.000000000000007,5963.019079383902,561.0887195295933,0.00010276911199253347
29.200000000000003,5994.0,548.85,0.18,29.20000000000001,5962.951330559523,560.1756984607679,9.994839934815739e-05
29.400000000000006,5903.0,549.85,2.18,29.400000000000013,5962.90974626015,559.1531147580476,9.722390249825527e-05
29.6,5984.0,547.85,0.18,29.60000000000001,5962.890754726619,558.0406452122843,9.459170543971239e-05
29.800000000000004,5949.0,560.85,0.18,29.80000000000001,5962.87517667739,556.9224668661965,9.204807708105523e-05
30.0,5951.0,547.85,0.18,30.000000000000007,5962.815869055413,555.9913596942052,8.958946131798589e-05
30.200000000000003,6020.0,561.85,-0.82,30.20000000000001,5962.747936462051,555.0889729659292,8.72124677049203e-05
30.400000000000006,6003.0,538.85,1.18,30.400000000000013,5962.706120533533,554.0794471231497,8.491386268296386e-05
30.6,5887.0,564.85,0.18,30.60000000000001,5962.686856447201,552.9820228726012,8.2690561327814e-05
30.800000000000004,6015.0,534.85,-0.82,30.80000000000001,5962.671000409339,551.8790282673551,8.053961958336462e-05
31.0,5958.0,573.85,0.18,31.000000000000007,5962.611495358647,550.9590210857576,7.845822694947058e-05
31.200000000000003,5958.0,526.85,1.18,31.20000000000001,5962.543381834934,550.0671202933052,7.644369959447957e-05
31.400000000000006,5978.0,561.85,-0.82,31.400000000000013,5962.501338379143,549.0704393461104,7.449347386525241e-05
31.6,5988.0,556.85,0.18,31.60000000000001,5962.481806921634,547.9877945099389,7.26051001693677e-05
31.800000000000004,6012.0,546.85,0.18,31.80000000000001,5962.465678233212,546.8997138279683,7.077623720586595e-05
32.0,5900.0,570.85,1.18,32.00000000000001,5962.405979016259,545.9906445564899,6.900464652260012e-05
32.2,6031.0,577.85,0.18,32.20000000000001,5962.3376874145715,545.1090834400615,6.72881873797407e-05
32.400000000000006,6034.0,558.85,0.18,32.40000000000001,5962.2954205106,544.1250383187121,6.56248119003962e-05
32.6,6011.0,546.85,0.18,32.60000000000001,5962.275626809778,543.0569123316324,6.401256049062225e-05
32.800000000000004,6057.0,551.85,1.18,32.80000000000001,5962.259230755605,541.9834809022885,6.244955751225972e-05
33.0,5989.0,548.85,2.18,33.00000000000001,5962.199340669203,541.0851884405077,6.0934007193176586e-05
33.2,5838.0,516.85,-0.82,33.20000000000001,5962.130873893343,540.2138210579908,5.946418976051017e-05
33.400000000000006,5938.0,570.85,1.18,33.40000000000001,5962.088387620539,539.2422053181108,5.8038457783465245e-05
33.6,6037.0,550.85,-0.82,33.60000000000001,5962.068336759956,538.1883421528272,5.6655232713116835e-05
33.800000000000004,5903.0,510.85,0.18,33.80000000000001,5962.051678566691,537.1293002215726,5.531300160747934e-05
34.0,5868.0,552.85,0.18,34.00000000000001,5961.991600902197,536.241625530315,5.4010314030875915e-05
34.2,6065.0,543.85,-0.82,34.20000000000001,5961.922961857404,535.3803076702573,5.2745779117349674e-05
