t,H2O2,OH,HO2
6.199999999999999,521096482636607.9,4134487643.240663,2060655087198.8823
6.399999999999999,521092720962832.8,3393570500.8777995,2059017778268.5737
6.599999999999998,521090494385323.2,2794592983.7176085,2056671232849.232
6.799999999999997,521088657777058.3,2309461712.1053343,2054143123050.6392
6.9999999999999964,521084464990898.4,1915771964.7582886,2052600743763.9387
7.199999999999999,521079909330263.6,1595709047.0043335,2051123973648.2637
7.399999999999999,521076967629874.4,1334906619.2990558,2048922214504.7656
7.599999999999998,521075416222889.8,1121844157.9809978,2046122195474.2153
7.799999999999997,521074139042235.4,947239471.5890608,2043223852099.8047
7.9999999999999964,521070418881575.0,803723158.354397,2041358669162.2402
8.2,521066259968311.3,685458420.2725786,2039611299365.1665
8.399999999999999,521063646974381.5,587666114.0168623,2037195797055.032
8.599999999999998,521062368060204.0,506496040.0810522,2034228755358.368
8.799999999999997,521061319526414.0,438828523.4526745,2031194721386.0015
8.999999999999996,521057799488578.4,382188368.9685466,2029199633439.85
9.2,521053812371514.6,334614750.90931547,2027340423200.1821
9.399999999999999,521051342031568.4,294477354.6042591,2024841847084.6528
9.599999999999998,521050181326161.0,260453232.321348,2021815572907.5813
9.799999999999997,521049233083463.8,231461740.73369074,2018735129581.5527
9.999999999999996,521045805887733.4,206641803.75492662,2016684721492.1523
10.199999999999996,521041900695967.3,185307456.96779364,2014775940366.5488
10.399999999999999,521039497589745.1,166879486.19302693,2012246164143.3882
10.599999999999998,521038391594499.8,150882866.87833506,2009203986481.981
10.799999999999997,521037489946314.7,136925185.47071368,2006113569572.5352
10.999999999999996,521034109859317.9,124690462.72348659,2004038991392.2988
11.199999999999996,521030247577271.8,113923867.42422767,2002107140846.1724
11.399999999999999,521027878405384.1,104406879.20055546,1999568526467.0535
11.599999999999998,521026798601890.5,95957660.27311307,1996529363352.1528
11.799999999999997,521025918987518.4,88423753.97047183,1993445156151.53
11.999999999999996,521022564627096.9,81680263.75980137,1991360688167.3547
12.199999999999996,521018726648546.5,75624515.75582886,1989418187542.9653
12.399999999999999,521016375264288.4,70167135.47291276,1986881318796.957
12.599999999999994,521015307596805.7,65232396.27329234,1983854206445.6804
12.799999999999997,521014437693076.0,60755669.721574806,1980784070832.224
13.0,521011098071986.9,56682798.971451566,1978696953887.1406
13.199999999999996,521007274649132.5,52968184.28166463,1976750251463.427
13.399999999999999,521004932478718.3,49571577.93518345,1974220634617.5835
13.599999999999994,521003869388398.8,46458199.198808454,1971210276345.0168
13.799999999999997,521003002467302.1,43597801.79549459,1968158360070.7585
14.0,520999671439117.3,40964411.369758084,1966072628948.8086
14.199999999999996,520995857024140.8,38535609.51039839,1964125402184.0942
14.399999999999999,520993519146725.0,36291368.394880734,1961606147715.3367
14.599999999999994,520992456262454.2,34214053.37218715,1958615168371.2383
14.799999999999997,520991588387748.0,32288059.62180363,1955583807880.8523
15.0,520988262260595.9,30499682.093499534,1953501908968.086
15.199999999999996,520984453469765.2,28836831.487211116,1951556440227.9146
15.399999999999999,520982116877301.0,27288598.64909611,1949049432118.7358
15.599999999999994,520981051523602.2,25845225.178038336,1946079374948.3464
