H2O2,OH,HO2
7.75690E+01,1.00000E+00,2.47180E+01
7.75440E+01,1.00000E+00,2.40420E+01
7.73180E+01,1.00000E+00,2.57100E+01
7.67400E+01,1.00000E+00,2.44340E+01
7.77560E+01,1.00000E+00,2.45360E+01
7.76720E+01,1.00000E+00,2.40210E+01
7.67140E+01,1.41420E+00,2.41870E+01
7.76020E+01,1.00000E+00,2.48600E+01
7.66750E+01,1.00000E+00,2.48390E+01
7.74660E+01,1.00000E+00,2.53180E+01
7.69680E+01,1.00000E+00,2.50400E+01
7.67140E+01,1.41420E+00,2.42900E+01
7.66420E+01,1.00000E+00,2.42280E+01
7.71620E+01,1.00000E+00,2.46580E+01
7.71360E+01,1.00000E+00,2.51400E+01
7.73630E+01,1.00000E+00,2.45970E+01
7.70260E+01,1.00000E+00,2.44340E+01
7.72850E+01,1.00000E+00,2.49600E+01
7.70970E+01,1.00000E+00,2.44540E+01
7.64590E+01,1.00000E+00,2.43930E+01
7.79870E+01,1.41420E+00,2.46980E+01
7.71560E+01,1.00000E+00,2.54360E+01
7.68960E+01,1.41420E+00,2.41450E+01
7.68770E+01,1.00000E+00,2.39580E+01
7.70000E+01,1.00000E+00,2.38750E+01
7.74210E+01,1.00000E+00,2.40210E+01
7.68310E+01,1.73220E+00,2.40420E+01
7.73560E+01,1.00000E+00,2.40000E+01
7.71300E+01,1.00000E+00,2.42690E+01
7.71430E+01,1.00000E+00,2.40000E+01
7.75890E+01,1.00000E+00,2.42900E+01
7.74790E+01,1.41420E+00,2.38120E+01
7.67270E+01,1.00000E+00,2.43520E+01
7.75560E+01,1.00000E+00,2.37280E+01
7.71880E+01,1.00000E+00,2.45360E+01
7.71880E+01,1.41420E+00,2.35580E+01
7.73180E+01,1.00000E+00,2.42900E+01
7.73820E+01,1.00000E+00,2.41870E+01
7.75370E+01,1.00000E+00,2.39790E+01
7.68110E+01,1.41420E+00,2.44740E+01
7.76600E+01,1.00000E+00,2.46170E+01
7.76790E+01,1.00000E+00,2.42280E+01
7.75310E+01,1.00000E+00,2.39790E+01
7.78270E+01,1.41420E+00,2.40830E+01
7.73890E+01,1.73220E+00,2.40210E+01
7.64070E+01,1.00000E+00,2.33450E+01
7.70580E+01,1.41420E+00,2.44740E+01
7.76980E+01,1.00000E+00,2.40620E+01
7.68310E+01,1.00000E+00,2.32160E+01
7.66030E+01,1.00000E+00,2.41040E+01
7.78780E+01,1.00000E+00,2.39170E+01
7.76980E+01,1.00000E+00,2.35800E+01
7.71820E+01,1.00000E+00,2.35370E+01
7.84730E+01,1.00000E+00,2.24720E+01
7.74730E+01,1.00000E+00,2.43520E+01
7.71490E+01,1.00000E+00,2.33880E+01
7.71170E+01,1.00000E+00,2.24050E+01
7.70060E+01,1.00000E+00,2.33450E+01
7.68570E+01,1.00000E+00,2.37490E+01
7.64790E+01,1.00000E+00,2.34090E+01
7.69870E+01,1.00000E+00,2.34520E+01
7.74080E+01,1.00000E+00,2.43520E+01
7.75050E+01,1.00000E+00,2.35580E+01
7.67330E+01,1.00000E+00,2.39790E+01
7.73110E+01,1.00000E+00,2.44540E+01
7.70840E+01,1.00000E+00,2.32380E+01
7.73950E+01,1.41420E+00,2.39170E+01
7.74790E+01,1.00000E+00,2.28040E+01
7.73820E+01,1.00000E+00,2.28470E+01
7.78010E+01,1.00000E+00,2.24500E+01
7.70710E+01,1.00000E+00,2.36850E+01
7.72460E+01,1.41420E+00,2.41450E+01
7.79810E+01,1.41420E+00,2.28470E+01
7.69550E+01,1.00000E+00,2.23610E+01
7.73240E+01,1.00000E+00,2.38120E+01
7.67790E+01,1.41420E+00,2.35370E+01
7.78850E+01,1.00000E+00,2.36850E+01
7.72140E+01,1.00000E+00,2.27600E+01
7.72400E+01,1.00000E+00,2.30650E+01
7.69420E+01,1.00000E+00,2.31950E+01
7.72080E+01,1.41420E+00,2.28690E+01
7.81600E+01,1.00000E+00,2.34520E+01
7.79170E+01,1.00000E+00,2.34730E+01
7.66750E+01,1.00000E+00,2.22710E+01
7.70320E+01,1.00000E+00,2.38540E+01
7.68180E+01,1.00000E+00,2.28250E+01
7.73950E+01,1.00000E+00,2.24280E+01
7.75240E+01,1.73220E+00,2.31300E+01
7.62100E+01,1.00000E+00,2.24940E+01
7.66090E+01,1.41420E+00,2.35160E+01
7.73950E+01,1.00000E+00,2.36010E+01
7.68510E+01,1.00000E+00,2.22710E+01
7.73180E+01,1.41420E+00,2.26940E+01
7.71230E+01,1.41420E+00,2.30650E+01
7.67720E+01,1.00000E+00,2.25610E+01
7.66420E+01,1.00000E+00,2.38120E+01
7.63680E+01,1.41420E+00,2.26500E+01
7.75050E+01,1.00000E+00,2.29130E+01
7.67330E+01,1.00000E+00,2.33020E+01
7.66620E+01,1.00000E+00,2.26500E+01
7.66880E+01,1.00000E+00,2.25830E+01
7.71490E+01,1.00000E+00,2.20230E+01
7.77050E+01,1.00000E+00,2.36640E+01
7.70190E+01,1.00000E+00,2.18170E+01
7.69030E+01,1.41420E+00,2.21130E+01
7.69610E+01,1.41420E+00,2.20230E+01
7.70190E+01,1.00000E+00,2.21590E+01
7.70910E+01,1.00000E+00,2.26270E+01
7.76600E+01,1.00000E+00,2.25390E+01
7.69940E+01,1.00000E+00,2.17720E+01
7.75500E+01,1.00000E+00,2.21810E+01
7.76020E+01,1.00000E+00,2.28250E+01
7.68370E+01,1.00000E+00,2.25830E+01
7.72080E+01,1.00000E+00,2.25610E+01
7.74340E+01,1.00000E+00,2.26500E+01
7.70780E+01,1.00000E+00,2.34520E+01
7.74020E+01,1.41420E+00,2.22940E+01
7.70520E+01,1.00000E+00,2.27600E+01
7.69740E+01,1.00000E+00,2.15640E+01
7.75890E+01,1.00000E+00,2.24280E+01
7.64330E+01,1.41420E+00,2.15410E+01
7.74470E+01,1.41420E+00,2.23380E+01
7.76340E+01,1.00000E+00,2.11190E+01
7.63810E+01,1.00000E+00,2.26500E+01
7.75690E+01,1.41420E+00,2.28690E+01
7.73180E+01,1.00000E+00,2.21130E+01
7.80900E+01,1.73220E+00,2.27600E+01
7.69680E+01,1.00000E+00,2.22040E+01
7.70000E+01,1.00000E+00,2.20000E+01
7.78970E+01,1.41420E+00,2.24500E+01
7.73630E+01,1.00000E+00,2.25170E+01
7.71170E+01,1.41420E+00,2.26270E+01
7.73890E+01,1.00000E+00,2.10240E+01
7.66620E+01,1.00000E+00,2.11900E+01
7.74270E+01,1.00000E+00,2.16790E+01
7.70650E+01,1.00000E+00,2.22490E+01
7.75820E+01,1.41420E+00,2.20910E+01
7.68770E+01,1.41420E+00,2.23610E+01
7.77690E+01,1.00000E+00,2.19770E+01
7.76600E+01,1.00000E+00,2.16790E+01
7.76660E+01,1.00000E+00,2.12370E+01
7.69220E+01,1.00000E+00,2.15410E+01
7.71620E+01,1.00000E+00,2.16330E+01
7.73630E+01,1.00000E+00,2.25390E+01
7.69220E+01,1.41420E+00,2.20450E+01
7.66620E+01,1.00000E+00,2.17260E+01
7.73760E+01,1.00000E+00,2.20230E+01
7.70000E+01,1.00000E+00,2.15870E+01
7.74270E+01,1.00000E+00,2.17490E+01
7.77170E+01,1.00000E+00,2.14010E+01
