X0,k_HO2_wall,k_OH_wall,S_HO2,S_OH,cost,success,ier,mesg
4710675657793.796,4.250161336169426,10.539124599573853,2.3329286429564213e-10,3.07284267285894e-11,1460876.648,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4943663882148.721,4.2816402063562755,8.195391867379072,2.255559871229789e-10,3.0213043858826634e-11,1592371.72766,True,2,The relative error between two consecutive iterates is at most 0.000000
4691101599293.254,4.377257924865835,11.496325760794761,2.3385474761305365e-10,3.5652704465894e-11,1679418.42063,True,2,The relative error between two consecutive iterates is at most 0.000000
4708699340765.493,4.390304318531096,11.142762218098332,2.3417473222500584e-10,3.0134189302978556e-11,1501340.03624,True,2,The relative error between two consecutive iterates is at most 0.000000
4578115273998.013,4.193041450265652,11.726908107401657,2.3818783688217204e-10,3.221583487500534e-11,1653757.43306,True,2,The relative error between two consecutive iterates is at most 0.000000
4679854721839.723,4.481662462933826,9.045293067968892,2.361506643136039e-10,2.964345247255276e-11,1471521.70658,True,2,The relative error between two consecutive iterates is at most 0.000000
4274712492417.3984,4.606627771027824,11.003915249468722,2.465715470810411e-10,3.560872926612979e-11,1620756.54748,True,2,The relative error between two consecutive iterates is at most 0.000000
4500711171870.014,4.560879358727503,9.51844805233409,2.3999986745031015e-10,3.5059640801281354e-11,1487564.2396,True,2,The relative error between two consecutive iterates is at most 0.000000
5122043742271.808,4.2083119424803686,9.77308462971717,2.217006538777206e-10,2.6310374024135066e-11,1447295.7603,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4442066440770.667,4.129881093537008,11.30976812587782,2.3937383869520604e-10,3.114845164188543e-11,1362565.77288,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4464674508262.449,4.860270578167565,10.837251382974982,2.42453817471946e-10,3.553571148688948e-11,1641699.4811,True,2,The relative error between two consecutive iterates is at most 0.000000
4538564999305.56,4.782914177177661,11.759051669335252,2.401093961102229e-10,3.3144940187297385e-11,1536074.495,True,2,The relative error between two consecutive iterates is at most 0.000000
4896082204791.883,4.586927765619706,9.270612023485088,2.2941854999140412e-10,3.037958313085987e-11,1538510.37639,True,2,The relative error between two consecutive iterates is at most 0.000000
4193274292914.645,4.409532644761382,11.451492910204207,2.4974851318176845e-10,3.800185973842847e-11,1518446.78286,True,2,The relative error between two consecutive iterates is at most 0.000000
4795486733168.178,4.175622465717913,9.446041276006715,2.2980456387225425e-10,3.138376061463672e-11,1641994.14939,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4973663803244.293,4.100599146087116,11.016688883634107,2.2608620811973956e-10,2.939791313253435e-11,1593342.99855,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
